name	acronym	tissue	repository	disease	species	numSamples	description
TCGA_Bladder Urothelial Carcinoma	BLCA	Bladder	TCGA	Cancer	Homo sapiens	89	Urothelial bladder cancer is the most common type of bladder cancer. The bladder is a hollow organ that holds liquid waste, or urine, produced by the kidneys. Invasive bladder cancer develops in the inner lining of the bladder wall and grows finger-like projections, called papillary tumors, into the hollow part of the bladder. In 2010, it was estimated that 70,500 people would be diagnosed with bladder cancer and an estimated 15,000 would die from it. Urothelial bladder cancer is more common among men than women. From 2003-2007, the median age of death from bladder cancer was 78 years of age. If the cancer is diagnosed after it has metastasized, as few as five percent of patients will be living five years after diagnosis.
TCGA_Breast invasive carcinoma	BRCA	Breast	TCGA	Cancer	Homo sapiens	864	This cancer starts in the tissues of the breast. Breast cancer is the most frequently diagnosed cancer and the second cause of cancer deaths in women. In 2010, 207,090 women were estimated to have been diagnosed with invasive breast cancer in the United States and approximately 40,000 women were estimated to have died of their disease. Men can also have breast cancer, although male breast cancer is rare. In 2010, 1,970 American men were estimated to have been diagnosed and 390 were estimated to have died of breast cancer. Due to early detection through use of mammograms and improvements in treatment, breast cancer deaths have steadily decreased since the 1990s. The TCGA will focus mostly on two types of invasive breast cancer: ductal carcinoma and lobular carcinoma. Invasive ductal carcinoma is the most common type of breast cancer. It comprises about 65 to 85 percent of all breast cancer and develops in the milk ducts of the breast. About 10 percent of all cases of advanced breast cancer are invasive lobular breast carcinoma. This cancer develops in the breast milk-producing lobules or glands.
TCGA_Cervical squamous cell carcinoma and endocervical adenocarcinoma	CESC	Ovarian	TCGA	Cancer	Homo sapiens	99	Cervical cancer is the term for a malignant neoplasm arising from cells originating in the cervix uteri. Human papillomavirus (HPV) infection appears to be a necessary factor in the development of almost all cases (90+%) of cervical cancer. The cervix is the narrow portion of the uterus where it joins with the top of the vagina. Most cervical cancers are squamous cell carcinomas, arising in the squamous (flattened) epithelial cells that line the cervix. Adenocarcinoma, arising in glandular epithelial cells is the second most common type. Very rarely, cancer can arise in other types of cells in the cervix.
TCGA_Controls	CNTL	Unknown	TCGA	None	Homo sapiens	3	Unclear what this is.
TCGA_Colon adenocarcinoma	COAD	Colon	TCGA	Cancer	Homo sapiens	423	Colon and rectal adenocarcinomas are the third most commonly diagnosed cancers in both men and women and account for nine percent of all cancer deaths. The colon and rectum are part of the digestive system and cancer forms in the colon and/or the rectum. These digestive system cancers are often referred to as colorectal cancer. In 2010, an estimated 102,600 Americans were expected to have been diagnosed with colon cancer and another 39,670 were expected to have been diagnosed with rectal cancer. In addition, 51,370 Americans were estimated to have died of colorectal cancer in 2010. More than 90 percent of colorectal cancer occurs after age 50 and the average age at diagnosis is 72. When colorectal cancer has spread to other parts of the body, only 11 percent of patients will survive five years from the date of their diagnosis. Colorectal death rates have been declining since 1998, due to the increased use of screening tests that allow detection and removal of colon polyps before they progress to cancer.
TCGA_Lymphoid Neoplasm Diffuse Large B-cell Lymphoma	DLBC	Blood	TCGA	Cancer	Homo sapiens	27	Diffuse large B-cell lymphoma (DLBL, DLBCL, or DLCL) is a type of aggressive non-Hodgkin lymphoma. It accounts for approximately 40% of lymphomas among adults. The median age at diagnosis is 70 years, but it also occurs in children and young adults. As with most non-Hodgkin lymphomas, there is a male predominance, although primary cutaneous diffuse large B cell lymphoma is more common in women. Of all cancers involving the same class of blood cell, 31% of cases are DLBL.
TCGA_Glioblastoma multiforme	GBM	Brain	TCGA	Cancer	Homo sapiens	599	Glioblastoma Multiforme (GBM or grade IV astrocytoma) is a fast-growing type of malignant brain tumor that is the most common brain tumor in adults. In 2010, more than 22,000 Americans were estimated to have been diagnosed and 13,140 were estimated to have died from brain and other nervous system cancers. GBM accounts for about 15 percent of all brain tumors and occurs in adults between the ages of 45 to 70 years. Patients with GBM have a poor prognosis and usually survive less than 15 months following diagnosis. Currently there are no effective long-term treatments for this disease.
TCGA_Head and Neck squamous cell carcinoma	HNSC	Skin	TCGA	Cancer	Homo sapiens	294	Most head and neck cancers begin in the moist, mucus membranes lining the inside of the mouth, nose and throat. These membranes are made up of squamous cells and the head and neck cancers that grow in these cells are called squamous cell carcinomas. These cancers most often affect people over the age of 50 and the rates in men are more than twice as high as the rates in women.1 In 2010, about 36,000 Americans are estimated to have been diagnosed with head and neck cancers and an estimated 7,880 were expected have died of squamous cell carcinomas. Known risks for developing head and neck cancers are smoking and heavy drinking.
TCGA_Kidney renal clear cell carcinoma	KIRC	Kidney	TCGA	Cancer	Homo sapiens	502	The most common type of kidney cancer is called renal cell carcinoma. This cancer forms in the cells lining the small tubules in the kidney that filter waste from the blood and make urine. An estimated 58,240 Americans were expected to have been diagnosed with kidney cancer in 2010 and an estimated 13,040 to have died of this cancer. Most people with kidney cancer are usually over 55 years of age and this cancer is more common in men. When detected early, most cases of kidney cancer can be treated effectively. However, survival rates are low when the cancer has spread from the kidney to other parts of the body. TCGA will analyze two subtypes of renal cell carcinoma called clear cell carcinoma and papillary carcinoma. The identification of these subtypes of kidney cancer is based on how the cancer cells look under a microscope. Kidney clear cell carcinoma is the most common type of kidney cancer, representing approximately 92% of such cases. Papillary carcinoma accounts for about 8%.
TCGA_Kidney renal papillary cell carcinoma	KIRP	Kidney	TCGA	Cancer	Homo sapiens	103	The most common type of kidney cancer is called renal cell carcinoma. This cancer forms in the cells lining the small tubules in the kidney that filter waste from the blood and make urine. An estimated 58,240 Americans were expected to have been diagnosed with kidney cancer in 2010 and an estimated 13,040 to have died of this cancer. Most people with kidney cancer are usually over 55 years of age and this cancer is more common in men. When detected early, most cases of kidney cancer can be treated effectively. However, survival rates are low when the cancer has spread from the kidney to other parts of the body. TCGA will analyze two subtypes of renal cell carcinoma called clear cell carcinoma and papillary carcinoma. The identification of these subtypes of kidney cancer is based on how the cancer cells look under a microscope. Kidney clear cell carcinoma is the most common type of kidney cancer, representing approximately 92% of such cases. Papillary carcinoma accounts for about 8%.
